2018/03/22 09:50:58;0;A;Alarm;9;Zagrożenie pożarem;Alarm aktywny!;Pierwsza kategoria;0;
2018/03/21 07:35:54;0;B;Wersja oprogramowania;;M2017/0421#00  ;;;;
2018/03/21 07:35:55;0;B;Alarm;14;Rezerwa;Alarm nie aktywny;Pierwsza kategoria;0;
2018/03/21 07:35:55;0;B;Zdarzenie;2;Not Recognized event;Zdarzenie nie aktywne;;0;
2018/03/21 11:51:23;0;B;Zdarzenie;0;Not Recognized event;Zdarzenie aktywne!;;0;
2018/03/21 11:51:23;0;B;Zdarzenie;8;Not Recognized event;Zdarzenie aktywne!;;0;
2018/03/21 11:51:23;0;B;Zdarzenie;16;train detectors in track 1 are switched on/Tor 1 aktywny;Zdarzenie aktywne!;;0;
2018/03/21 11:51:23;0;B;Zdarzenie;20;Not Recognized event;Zdarzenie aktywne!;;0;
2018/03/21 11:51:41;0;B;Zdarzenie;14;Not Recognized event;Zdarzenie aktywne!;;0;
2018/03/21 11:51:41;0;B;Zdarzenie;16;train detectors in track 1 are switched on/Tor 1 aktywny;Zdarzenie nie aktywne;;0;
2018/03/21 11:51:41;0;B;Zdarzenie;20;Not Recognized event;Zdarzenie nie aktywne;;0;
2018/03/21 11:51:45;0;B;Zdarzenie;8;Not Recognized event;Zdarzenie nie aktywne;;0;
2018/03/21 13:45:27;0;B;Zdarzenie;15;Not Recognized event;Zdarzenie aktywne!;;0;
2018/03/21 13:45:48;0;B;Zdarzenie;15;Not Recognized event;Zdarzenie nie aktywne;;0;
2018/03/21 13:46:45;0;B;Zdarzenie;15;Not Recognized event;Zdarzenie aktywne!;;0;
2018/03/21 13:47:01;0;B;Zdarzenie;0;Not Recognized event;Zdarzenie nie aktywne;;0;
2018/03/21 13:47:01;0;B;Zdarzenie;14;Not Recognized event;Zdarzenie nie aktywne;;0;
2018/03/21 13:47:01;0;B;Zdarzenie;15;Not Recognized event;Zdarzenie nie aktywne;;0;
2018/03/21 15:07:42;0;B;Alarm;26;Not Recognized event;Alarm nie aktywny;Druga kategoria;0;
2018/03/21 15:07:48;0;B;Alarm;44;Not Recognized event;Alarm nie aktywny;Druga kategoria;0;
2018/03/21 15:07:48;0;B;Zdarzenie;3;Not Recognized event;Zdarzenie nie aktywne;;0;
2018/03/21 15:07:53;0;B;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/21 15:07:53;0;B;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/21 15:07:53;0;B;Zdarzenie;3;Not Recognized event;Zdarzenie aktywne!;;0;
2018/03/21 15:07:54;0;B;Zdarzenie;15;Not Recognized event;Zdarzenie aktywne!;;0;
2018/03/21 15:08:09;0;B;Zdarzenie;15;Not Recognized event;Zdarzenie nie aktywne;;0;
2018/03/21 15:08:14;0;B;Alarm;26;Not Recognized event;Alarm nie aktywny;Druga kategoria;0;
2018/03/21 15:08:32;0;B;Zdarzenie;15;Not Recognized event;Zdarzenie aktywne!;;0;
2018/03/21 15:08:59;0;B;Zdarzenie;15;Not Recognized event;Zdarzenie nie aktywne;;0;
2018/03/21 15:09:02;0;B;Zdarzenie;0;Not Recognized event;Zdarzenie aktywne!;;0;
